target,component,shaft,sensors,rho,spec,spec_xshaft,n_deg,n_heal,n_xheal
fan_eff_mod,fan,LP,T30+T50+P21,0.26282386408046543,0.09470261419751924,0.08105272362691174,262,535,450
fan_eff_mod,fan,LP,T30+T50+P24,0.13701994591534555,-0.05847785321382082,-0.07133986117018143,262,535,450
fan_eff_mod,fan,LP,T30+T50+Ps30,0.49939572539934823,0.04680154597401809,0.02148842952427621,262,535,450
fan_eff_mod,fan,LP,T30+T50+P40,0.4624234957600168,-0.12589700139681992,-0.1835184074314664,262,535,450
fan_eff_mod,fan,LP,T30+T50+P50,-0.24583918929742093,-0.1491273710507517,-0.21817708137443192,262,535,450
fan_eff_mod,fan,LP,T30+P15+P21,0.6798798048544213,-0.11895221798398237,-0.27189854151990556,262,535,450
fan_eff_mod,fan,LP,T30+P15+P24,0.525963865465522,-0.17939765026116206,-0.2944791169286578,262,535,450
fan_eff_mod,fan,LP,T30+P15+Ps30,0.6565809844646596,-0.07961843947303682,-0.13015608703848724,262,535,450
fan_eff_mod,fan,LP,T30+P15+P40,0.41519277253870823,0.17234364991193984,0.11802460874228948,262,535,450
fan_eff_mod,fan,LP,T30+P15+P50,0.5852368217230387,0.22680356721487416,0.18656474993969652,262,535,450
fan_eff_mod,fan,LP,T30+P21+P24,0.5259553822702733,-0.17925281547573846,-0.2943201496753829,262,535,450
fan_eff_mod,fan,LP,T30+P21+Ps30,0.6565033112061816,-0.0795525523939491,-0.130087115742052,262,535,450
fan_eff_mod,fan,LP,T30+P21+P40,0.4151553691251768,0.17256599611548729,0.11826154751519591,262,535,450
fan_eff_mod,fan,LP,T30+P21+P50,0.5852510504624632,0.22650738373437718,0.18625315242884233,262,535,450
fan_eff_mod,fan,LP,T30+P24+Ps30,0.10162884520285179,0.14341481508047904,0.11823658733766229,262,535,450
